id,verdict,tag,conf,reason
142649 c8390ed8-5ac6-4578-8ed7-2ac02310f184,OK,unrelated,1.0,Questions are about different topics entirely.
194883 46134b68-66c6-437d-97c9-6c9468516fd3,OK,scope,0.9,Questions address different aspects of energy.
250957 aa531d67-703e-45eb-b7e2-cc32976a172e,OK,unrelated,1.0,Questions address different locations and topics.
241285 429bf3f2-2efe-4b4c-ae51-79c9ea87f4ef,B,scope,0.7,"One is general, the other specifies a timeframe."
337109 c5af0827-bda7-4855-8b8e-354377c7b544,B,scope,0.7,'Best paying' is more specific than 'good paying'.
42974 1fbab8be-a8d1-4dbe-be3c-0c8e3afbda0d,OK,scope,0.9,Both questions ask about alleviating neck pain.
84915 f35beca1-a647-46d1-ae82-5531670d632e,B,scope,0.7,Different fears and contexts are addressed.
144008 4f5527ec-3bdd-49f8-b6a3-a28ac6d166d8,OK,unrelated,0.9,Questions address different health topics.
351038 c8c5288b-7c00-4d24-871c-dd76a72ac8c4,OK,identical,0.9,Both questions ask about the hard disk's function.
381517 d7e07df8-917e-42ab-994d-5fe49a625b2d,OK,scope,0.9,Second question is a subset of the first.
371206 a0b5c0b8-6c69-4578-aba5-e6012979a9ff,OK,scope,0.9,Both ask for motivational song recommendations.
38301 10c15535-8098-4fa5-b9c9-c9f20c4cebff,OK,lexical_gap,0.9,Both questions ask for the best movie seen.
95322 0f859148-d7d3-464d-82a6-ade467d57f36,A,entity,0.9,Different comparison entities invalidate the paraphrase.
385320 48c84051-c4fe-4476-bb16-e70ccc929122,OK,entity,1.0,Different locations make them non-duplicates.
269727 7c94b8d9-8a10-4699-a2bb-524a0434c5c6,OK,scope,0.9,Different focus: prediction vs. opinion.
133754 f3139797-f63d-423d-9cc7-b9a2eb38f6d4,A,scope,0.9,Different meanings of 'a dream' vs 'dreams'.
121338 a0d07f4a-244f-461d-b4e1-c2e7acd59a64,OK,unrelated,1.0,Questions are about different topics entirely.
371055 1e7a8c96-5f6a-4598-982d-ff38cfb82ae7,OK,scope,0.9,One question is more specific than the other.
299372 2d6844a8-1844-4581-8023-c06d1873b20e,OK,unrelated,1.0,Questions address different aspects of relationships.
110669 dbab0077-5cbe-45cf-9dc4-2f865987a88a,OK,scope,0.9,Questions address different aspects of penis size.
111202 398959c6-3c36-471f-9ab1-08bfcf2834de,B,scope,0.7,Different focus on single vs. multiple flavors.
87670 0ab6d391-b768-4223-ab7b-aa0e52f34d64,OK,lexical_gap,0.9,Both questions inquire about Hillary Clinton's presidency.
317236 f01b727d-4bb5-41de-a143-d3275517146b,OK,scope,0.9,Different aspects of USPS sort facilities are addressed.
62325 256895e0-61f2-461c-a572-268fdf791755,OK,unrelated,1.0,Questions address completely different topics.
313997 bc6822bf-e9b2-4e8d-887b-a06821fd20b8,OK,identical,1.0,Both questions ask about question improvement.
270002 b3a4369a-1607-435e-8fcc-54985dd14166,OK,unrelated,0.9,Questions address different aspects of petroleum jelly.
47118 82458c61-48c8-4ee4-8b83-b4017de8fc71,B,scope,0.7,Different focus on price and quality.
69281 9c2693a0-1601-4594-bf24-d7d96bd98377,OK,unrelated,1.0,Questions are about different flights and destinations.
301680 b8e41994-524a-4edc-91a8-ec177df50d4b,OK,scope,0.9,Second question is a specific aspect of the first.
290600 fabbcfd1-2bb4-4d81-a571-ed596708f4ee,OK,identical,1.0,Both questions ask for the same information.
142923 6194727a-960a-4557-b6a2-b6446551f09c,OK,lexical_gap,0.9,'write' and 'create' are synonymous in this context.
317775 04a4a722-e132-4f01-b44e-a5138f13d199,OK,scope,0.9,Both questions seek similar information about startups.
119563 9cc99563-078d-4b92-8871-385a42932a1d,OK,unrelated,1.0,Questions address different topics entirely.
336296 3f1013ae-f1ad-45bd-8c7b-4270945cce62,OK,unrelated,0.9,Questions address different topics entirely.
22780 40e86d17-2455-4c7c-97ab-e0c31ec39757,B,scope,0.7,Different focuses on emotional support and apology.
51518 5a3c31aa-b062-4514-9275-14b928012286,OK,scope,0.9,Questions address different aspects of light and vision.
249304 78f253b6-d2f8-4f16-a6fd-8107553fddb7,B,scope,0.7,Different focuses on flavors vs. quality and taste.
23497 d5b7ae66-459f-44dc-b588-06e9f991f7a9,B,scope,0.7,Different focuses on safety and rental policies.
81134 1cade740-0b3f-48e0-9108-a63bb930dedf,B,scope,0.7,Different grammatical number affects interpretation.
29149 266021bc-c06e-4595-bc4a-2d4f13432ab9,B,scope,0.7,Different perspectives on post-surgery depression.
357323 0d9e69a3-da6a-48ea-a9f8-a90fd0b745b4,OK,scope,0.9,Both questions ask for recommended books on automobile engineering.
125551 2018e5dc-ba5e-497d-9032-5bd23b12eb4f,OK,scope,0.9,Different aspects of vaccination are addressed.
363953 23c4fb5d-df7c-4abf-b33c-d5a44723ec13,B,scope,0.7,Different scopes of followers vs. popularity.
287550 44f621ee-3ad5-4616-ad6c-33c9f1ce8c58,OK,scope,0.9,"One asks for actions, the other for definition."
219948 02139b97-cd65-476d-9404-a98ac5a4792a,OK,unrelated,1.0,Questions address different aspects of sleep patterns.
187926 f875f138-4702-4ba3-baca-606708c49a93,B,scope,0.7,"One asks for best novels, the other for one."
258594 88bce142-eb46-49f4-b739-39ac29a18576,B,scope,0.7,Different focus on differences vs. comparisons.
233508 093862e5-670d-4c0e-9323-f654b900a4b8,OK,scope,0.9,Different scopes but related to JoSSA admissions.
96055 ba64bf7e-a9fd-486f-af6f-f8f084a87be9,OK,unrelated,1.0,Different Tamil words are being asked about.
241579 be975a61-0346-45e5-be3f-74d9df73ae8c,OK,unrelated,1.0,Questions ask about different player attributes.
233837 d8c2bd8f-52f2-4805-b85a-73192a1f55e7,OK,unrelated,1.0,Questions are about different topics.
183488 25f80a27-761f-4097-ba15-943bb7e2a6bf,OK,unrelated,0.9,Questions address different relationship scenarios.
169197 9fd61b8d-0285-463a-9093-6aa17b46b8ca,OK,unrelated,1.0,Questions are about different subjects entirely.
44083 cfa7e39b-885a-400b-9324-df78724054dd,B,scope,0.7,Different focus: experiences vs. facts.
238531 ee7b4c39-9335-448c-8e9d-3199547920c2,OK,entity,0.9,Different entities are compared in each question.
211163 fc7f486d-8b03-4457-a33e-94acc929535b,B,scope,0.7,Second question lacks context about creation.
311922 96592372-17b2-489c-9eeb-7afefb835f68,A,scope,0.9,"One asks if, the other asks when."
131336 b78d2b98-064d-43e2-b724-65ec49e04e08,B,scope,0.7,"One asks about possibility, the other about capability."
17498 081d8cb7-43b8-42c6-8e5e-c1e3777119b7,OK,quantity,1.0,Different years imply different victim counts.
8948 9e4364c6-c01e-4510-b52b-6bc503a460d4,OK,unrelated,1.0,Questions address different topics and contexts.
374199 89b3c741-d697-4e4a-bdb4-32bbd2024725,OK,scope,0.9,Different focuses on giving vs. finding.
147115 a05cd901-1fea-4c31-9dcc-1ef71a513c7f,OK,unrelated,1.0,Questions address different aspects of Excel cells.
223446 7f558529-ec37-4630-9727-f06e33e05b32,B,scope,0.7,"One asks for ten, the other for some."
100020 1969af4f-ff16-4e89-a6c0-5e2e9122aabc,OK,identical,1.0,Both questions ask the same thing using different wording.
52611 0c664e11-95c7-4054-a543-5936379303a3,OK,scope,0.9,Different iOS versions imply different jailbreak methods.
198746 fe566847-017a-4b50-8c7e-1954e04b6f25,B,scope,0.7,Different focuses on bias and questioning parties.
360510 ed9ea969-f317-4c2e-bc30-0d35a33bb3f6,B,scope,0.7,Different focuses on preparation vs. cracking the exam.
39272 0283d1c8-c318-4128-826e-7a1b879e9dcc,OK,identical,1.0,Both questions ask about postmodernism's importance in sociology.
67702 b92e883f-ff98-429b-bb8c-21e4a0afaff0,B,scope,0.7,Different sizes imply different scenarios and implications.
264452 184e6252-c178-4448-8534-3c5c6cf7541f,OK,lexical_gap,0.9,Both questions ask about profile view visibility.
91925 0ff7b70b-a08a-47bd-8be8-cd5b13bf5bd0,B,scope,0.7,Different nuances in admiration and respect.
348943 bb59e376-9cb6-4035-987a-fd0eabd4b7cf,OK,identical,1.0,Both questions ask for a favorite character.
14763 510b8d49-7ce0-4a8a-a2d4-55fbb2d264b7,OK,unrelated,1.0,Questions are about different scenarios and subjects.
30637 24f67279-fc06-4060-8143-0d568c1068b4,OK,scope,0.9,Questions address different aspects of religion's origins.
314689 8413d1bb-fff3-4f0a-a134-4d2574929104,OK,identical,1.0,Both questions ask the same thing.
107941 ba5d6c3d-8c7a-465c-bc2a-ec24f3c7ee36,B,scope,0.7,Different focuses on impact vs. help.
264172 02145e80-98b4-427a-8405-6caa13347aea,OK,scope,0.9,Both questions address delivery attempt issues.
3473 606b595c-1e93-4fdc-95f1-8b3365870521,OK,scope,0.9,Both questions address time limits for account status.
188087 bab6a5d5-16bb-4b7f-aaab-6d9cac3343db,OK,scope,0.9,Questions differ in focus on difficulty vs. wisdom.
329212 756baaa3-8dba-4a7f-8668-8007da685ce8,OK,entity,0.9,Different locations but same context and meaning.
351304 4de53136-b4c4-4f66-afd4-14617638449d,OK,unrelated,0.9,Questions address different subjects and contexts.
199644 73a01272-a959-4648-93bc-eddf61b8c484,OK,identical,1.0,Both questions ask the same thing about visa applications.
232432 5857b5b8-25ba-4850-9809-a8f4105877a8,OK,unrelated,1.0,Questions are about entirely different topics.
330281 029f39a1-60b0-47d4-8f48-f79474e9eb31,OK,scope,0.9,Questions address different aspects of Tamilian support.
384195 54bbef83-43a3-40a3-bf5e-331cb356372f,B,scope,0.7,Different focus on achievement and self-identity.
364207 df0896e2-b636-4596-b2ab-c45b520151bb,OK,unrelated,1.0,Questions are about different topics entirely.
180405 e63114ee-9fda-477a-a900-ddfbbba9e6da,B,scope,0.7,Different focus on timing and agency of blocking.
324309 ac067bad-b9d0-4353-952c-1fd7ee1dd5b4,OK,unrelated,1.0,Questions are about entirely different topics.
358978 e0c1bf5e-8991-42d5-bd14-c0707014242a,OK,unrelated,1.0,Questions address different topics and contexts.
109905 f94d2273-129d-4395-b5f9-ca5b7a74748a,OK,scope,1.0,Different fields of study imply different eligibility criteria.
264965 c80b3c70-45fb-490e-bbf5-d335e72d11e7,OK,scope,0.9,Questions address different aspects of water sharing.
19357 0908eea4-792d-426c-90b9-fa657b3effa3,OK,scope,0.9,Different events imply different contexts for winning.
227869 367a36b7-2747-47b4-b83d-30a795acbe87,OK,identical,1.0,Both questions ask for the same information.
394032 a648149c-7c40-473d-b960-090caf605716,OK,scope,0.9,Questions address different aspects of Rahul Gandhi's marriage.
269203 0e383224-474c-4a63-a799-a8d777900ecd,A,scope,0.9,Adventurous and soul satisfying differ in meaning.
290931 d15a49ee-2430-4637-8ed3-b83999a0a971,B,scope,0.7,Different focuses on joining Pakistan or India.
352418 c9f785fd-8feb-484f-bac1-34f9baf56ae9,A,scope,0.9,Questions ask about opposite actions regarding snake bites.
329872 a684ae93-3d20-4656-aa41-3111540f607e,OK,lexical_gap,0.9,Both questions express the same sentiment.
204624 76266169-906a-4057-b965-bc75a0b05197,B,scope,0.7,Different focus on sleepiness vs. boredom.
149630 2c0a4908-0e6f-4db2-83ef-3bfd05b9bb3b,OK,unrelated,1.0,Questions are about different drawing techniques.
230020 5b00db65-ad8c-44fa-b78f-bfb7f17f6894,OK,scope,0.9,Both questions ask about resetting voicemail passwords.
20743 b6345f50-f9ea-4f81-bc1e-764dc46fbc98,A,scope,0.9,Different focuses on love vs. doing what you love.
280503 877f5247-60fc-4df4-810f-4f34bc1c627c,OK,unrelated,1.0,Questions address different aspects of business analytics.
344429 98223f2b-7553-4daf-aa57-2a95503aa33f,OK,unrelated,1.0,Questions address different messaging platforms.
394235 4ae254bb-664a-46ff-8e11-771af1283717,B,scope,0.7,Different phrasing but similar core inquiry.
76612 b5282044-b5c2-46dc-b0c7-6ccf7c1b303b,OK,identical,0.9,Both questions express the same sentiment about loneliness.
148172 916cc9d4-4a89-4b50-945c-9027f40e81ff,B,scope,0.7,Different focus: best competitor vs. top 3 competitors.
59355 52652080-1b4f-4f22-9cdc-824f0f1dd700,OK,entity,0.9,Different subjects: websites vs RSS.
325828 30b8b6a0-cfa8-4917-af8c-484cdef9a2c7,B,scope,0.7,Different focus on existence vs. achievement.
204455 6934c25e-bdb1-4dfb-9f17-28f0a760d00b,OK,lexical_gap,0.9,Both questions inquire about the same concept.
49606 abb6b749-b4b7-4308-a2d3-2a2a512f258a,OK,scope,0.9,Both questions ask for a comparison of political parties.
361267 78e2c10f-1252-4d2b-9b5f-f2a421efe5af,B,scope,0.7,Different focuses: learning vs. existing knowledge.
160149 90441247-6cb6-4a00-af4e-49afb1b1ed76,B,scope,0.7,Different focuses: location vs. ease of method.
142120 869a9ca6-9550-4b44-81a0-dee2d4c7babb,OK,scope,0.9,One question is more specific than the other.
299443 6a9b5cc2-50ef-4db2-9d72-4516795e3145,OK,unrelated,1.0,Questions address different topics entirely.
327669 af9dd52f-b9cf-4ef7-97c1-e22dc42fa7d7,A,scope,0.9,Questions ask about different aspects of deactivation.
189120 ffacb58d-ad2f-4841-aa06-ddfe40a638e5,OK,entity,0.9,Different countries are compared in both questions.
21669 d1b46766-1449-4ecc-a783-dac1c34368a1,A,scope,0.9,Second question lacks health benefit aspect.
212653 89bd84e5-7ce9-4548-b4ce-d6f3d5004ea2,B,scope,0.7,Different focus on 'men' vs 'most men'.
318274 1d51705e-429e-4553-9635-30ae0898673f,OK,unrelated,1.0,Questions address different aspects of service.
306040 db1a2cc2-f6ec-4700-b2d7-64e515b10177,OK,scope,0.9,Different focuses on transfer methods and specific bank services.
284517 e698707b-688a-4a10-8948-4f2b9ffa7196,OK,scope,0.9,Questions differ in specificity about desires.
129310 7e97f190-2f03-4b01-90e8-c2a0c17d15f8,OK,unrelated,1.0,Questions are about entirely different topics.
289135 9cb8cb5a-1cc1-4b84-8ef5-7c28bf94deca,B,scope,0.7,"One asks about potential bans, the other about existing ones."
100302 5c9a002d-12e1-49e3-904c-cc25f9b7226f,OK,unrelated,1.0,Different books and authors are mentioned.
220423 b6521f05-931b-4988-b421-78116d2ba3ff,OK,scope,0.9,Both questions ask about the sky's color.
241106 fea56d9f-ef97-4ba4-bcc6-facdb54e9e05,OK,unrelated,0.9,Questions address different aspects of winter driving.
234571 bbca30d7-aaa5-46c0-9eda-70c156fab967,B,scope,0.7,Different focuses on front end roles vs. engineering.
318992 5a19f8f3-5a5f-42c6-88d0-2365df2eb4e1,A,unrelated,0.9,Second question includes unrelated content.
88270 afa8bf6e-c1de-4ac8-9a04-ff3b8b9a64b3,OK,unrelated,1.0,Questions are about different aspects of cricket.
183818 0de04dcd-1abb-44d1-a01f-20b6c33a0917,A,entity,0.95,Different companies imply different interview processes.
51168 2a41a29f-5b01-4338-9bbf-b223feeef431,OK,unrelated,1.0,Questions address different aspects of deep learning.
173765 599de331-e71d-40e8-9f0c-5c4325b3d138,OK,unrelated,1.0,Questions address different topics in the hospitality industry.
151625 99901828-4020-4141-8f2d-01e4bc41e186,OK,scope,0.9,Both questions address the concept of first impressions.
404014 2effa069-76d6-437f-b172-5949a0005d1f,OK,lexical_gap,0.9,Both questions ask about the same experience.
100062 61b6b253-a018-46a8-8950-130776234175,OK,unrelated,1.0,Questions are about entirely different topics.
91631 48684501-3e58-4379-bc7f-2381e1a451b7,OK,unrelated,1.0,Questions are about different topics entirely.
288239 b7e620a2-1b5c-4c65-8567-0f19b74e80aa,B,scope,0.7,Different contexts regarding the timing of the election.
211988 6855d322-2a83-4d75-8590-6212740dbda9,OK,scope,0.9,Different focus on popularity vs. importance.
102618 5cb36bfe-7f03-40c0-84f7-e72fbcf9ac5e,OK,scope,0.9,"Different contexts: one specifies Germany, the other is general."
123799 6ed474fb-d684-4e7c-a1b2-c9c759882a41,B,scope,0.7,Second question adds a new aspect about bipolarity.
392434 66aba952-002c-4e72-a27d-3675624dc600,OK,scope,0.9,Different focuses: future vs opinion on affirmative action.
378230 e52e477a-b902-4197-8ce7-69e7f8d811cc,OK,unrelated,1.0,Questions focus on different aspects of news reporting.
148944 a57e47a0-e2ad-445c-a120-c6609ad5612f,OK,scope,0.9,Questions address different aspects of pregnancy timing.
270030 aa9bffb9-21b5-4d6d-aeaf-366bf1636481,OK,unrelated,0.9,Questions address different topics: law vs. religion.
125867 42e881e2-bc42-4da1-bc3b-1533936fd14f,B,scope,0.7,"One is general, the other specifies 'bank'."
165641 ab67e810-2ada-4408-8929-387e95947ecb,OK,scope,0.9,Both questions address similar issues with power steering.
225636 ea127fea-d75a-4c0f-8c1e-600d06dfdec6,OK,lexical_gap,0.9,Both questions convey the same core idea.
127748 e2735698-0aa7-4c48-890b-994c9d8450d4,OK,unrelated,1.0,Questions are about entirely different topics.
262765 0d157bd2-3d53-4aa0-8e33-149d90c56497,OK,unrelated,0.9,Questions address different topics about girls and college.
19783 a3641aa8-1f5e-470f-94e3-aabf6eb70951,OK,unrelated,0.9,Questions address different topics and contexts.
89973 a74116de-0edc-4bf0-9ff9-fdee8fc83b6b,OK,unrelated,0.9,Questions address different subjects entirely.
147489 02fcc709-4ccb-4e6e-8a6e-95b6604660ce,OK,entity,1.0,Different characters are referenced in each question.
72171 808197f2-f736-463b-a304-3e7bcef73609,OK,entity,1.0,Different entities are discussed in both questions.
300941 65f1cb9e-ad93-4e27-9f90-b8709d48431e,B,scope,0.7,Different focuses on cultural appropriation's implications.
309849 7543783b-feab-4a32-8976-ecf2e552068f,OK,scope,0.9,Both questions ask about preparing for Organic Chemistry.
141236 966d287c-d648-49fb-a920-b1193ec2403a,OK,scope,0.9,Questions focus on different aspects of investment.
133879 d5092590-c086-47b3-b1e6-9218100e223a,OK,scope,0.9,Different focuses on regret and career paths.
40697 841776f0-0b5e-48bc-b4f0-51d8e12a5449,B,scope,0.7,Questions differ in specifics about the hole and jumping.
280020 f0f6fab4-f8cb-4917-8b59-c4c7fa607a59,OK,unrelated,1.0,Questions address different situations regarding car breakdowns.
266610 40307167-2f74-49e7-8336-3da957e2f6d3,OK,scope,0.9,"One asks about a specific case, the other defines a term."
78763 97f02f33-01a5-44e6-a3c9-cc08a456c3d7,A,scope,0.9,Different focus: effectiveness vs. explanation of homeopathy.
333712 098cf64f-23aa-4b7f-9c2b-ea2639130133,OK,scope,0.9,Different aspects of variable dynamics are addressed.
93295 66572985-7707-46e8-b5f9-61a9b3ee14d2,A,lexical_gap,0.9,Different word order alters meaning significantly.
21665 23fc70e0-904a-4a10-96ae-977b92b312b3,OK,unrelated,0.9,Questions address different topics about big cats.
366683 d20d2486-7b13-447e-a708-4e44736c8515,B,scope,0.8,Different focus on specific number vs. method.
136249 10efde03-338f-4062-871c-76b44a0568db,OK,lexical_gap,0.9,Both questions ask about yellow light's purpose.
36859 1d2ed55f-56cc-4dc0-8ee7-ccf8eefe56f8,A,scope,0.9,Different focus on speed versus general painlessness.
289820 1fbad419-10a6-4000-93ce-07bb05be4148,OK,entity,0.9,Different locations but same context and meaning.
208849 e5329997-e879-45cf-a40e-eed7ad9d504c,B,scope,0.7,Different focuses on learning methods vs. sources.
318005 8c864f30-e2b1-428b-a6e6-803a7ef66808,B,scope,0.7,Different specifics about offerings in temples.
289421 ecd17d8b-ec97-4926-a83e-cfb6ff70fc99,OK,scope,0.9,Second question omits 'without recovery' clause.
388333 956fe226-cfb4-4899-9f54-c93860f5db9f,OK,scope,0.9,Both questions inquire about dreaming of a person.
214643 3b908368-dfef-4677-94ca-8201aa008829,B,scope,0.7,Different contexts of time travel possibilities.
286679 6af90157-0777-40e5-9126-36a6ae8c1681,OK,unrelated,1.0,Questions are about entirely different topics.
306121 05e1b6fd-7525-4b73-bbfc-118648422197,B,scope,0.7,Different aspects of Sanskrit's suitability are discussed.
273995 b022526a-8629-40b7-a4b5-3d43af3de776,OK,scope,0.9,Second question specifies a location.
230636 fb94271a-5090-4bd6-a7ab-e2c0612f83df,OK,unrelated,1.0,Questions address different topics entirely.
1133 c50548c2-7713-410b-80ad-d8f12fdb672d,OK,unrelated,0.9,Questions address different aspects of wisdom teeth removal.
8970 a81fb9f2-2be5-4fc3-8adf-c7be97242dcd,OK,scope,0.9,Questions address different aspects of medication for Aspergers.
364728 e5447b3c-e2c5-4c2c-ac2c-05084de2dec7,OK,identical,1.0,Both questions ask for the same information.
359028 0cfdeb86-1bc1-4828-a555-347417be0598,OK,unrelated,1.0,Questions address different topics entirely.
77793 660770dd-eaef-4385-ab56-4be5f4ef0ffe,OK,unrelated,1.0,Questions are about different topics entirely.
326134 e2439108-4a36-4915-af9b-b5b7ec7f1941,OK,scope,0.9,Questions address different aspects of selling a company.
154055 934ecc8e-6b6c-490e-8110-f29d5c8644d0,OK,unrelated,1.0,Questions are about completely different topics.
108306 e3eaa26d-b70f-4f8b-806f-400a8d38be99,B,scope,0.7,Different focuses on desalination's role and implementation.
196105 6c6ec72a-74c5-4906-9bd5-52ad13906f8f,OK,entity,0.9,Different countries imply different fads.
123846 e33e7349-b6a5-4748-9983-9059fcf2a24b,A,scope,0.9,Different timeframes and contexts of winning.
31380 398304f8-5092-4274-b029-e3d6a8f5ec6c,OK,unrelated,1.0,Questions address different topics entirely.
101238 43f84ca3-dfd7-44e6-a31f-9346dda1aa50,OK,identical,1.0,Both questions ask about improving communication skills.
281400 4f081ac1-33a4-4f20-a84e-48f63cb224f6,OK,scope,0.9,Different focuses: general items vs. specific store.
318261 777c8f52-e346-4ba7-a1fd-ba7673078ae5,OK,scope,0.9,Questions address different aspects of Vedas.
289979 9c3692b2-e818-4e2c-817b-a4b08d9c0c18,OK,scope,0.9,Different locations imply different processing times.
103407 24d108eb-de85-4357-86cc-d8cc2c8c4b48,OK,identical,1.0,Both questions ask the same thing.
206727 ac5e92d4-f8f6-46f4-a72a-9ba0643ad7a4,OK,scope,0.9,"First question includes resenting, making it broader."
92814 e0fd18e5-df1a-44fa-b6d3-29d71e275255,OK,unrelated,0.9,Questions address different aspects of waxing.
279743 40b03847-a22d-44b4-b84a-79379b300ae5,OK,unrelated,1.0,Questions are about completely different topics.
195862 408bdc76-8612-4adf-bcf8-58f3c70e7a2a,OK,scope,0.9,Different scopes: service vs application.
200982 4e93bb12-ffd6-4292-a77e-43b601838eda,OK,scope,0.9,Questions cover different scopes of computer-related fields.
313260 95a419d4-7b4c-488e-bedf-4120f2916e5d,OK,scope,0.9,Different focus: location vs. quantity in a country.
209450 f00697da-3960-4a89-8c1d-e7be98fb7285,B,scope,0.7,"One asks if you do, the other if it's possible."
204657 dbf23734-34fe-4a50-86cc-410f1e840905,B,scope,0.7,Different focus on survival vs. consequences.
181244 4a7fd954-f9d7-4722-b66f-64edf861a94a,OK,unrelated,1.0,Questions are about entirely different topics.
184937 3418d21f-f65e-40ef-b3ff-87896543c41b,OK,identical,0.9,Both questions ask about cancer treatment resistance.
363784 8a79728e-cd90-4ab7-acba-a12d9c9e8b6e,B,scope,0.7,Different focus on basic vs. molecular and functions.
281306 c83dc8d5-411e-4bf1-9da6-f7628bffba58,OK,identical,1.0,Both questions ask the same thing.
157602 e070fd58-ab8a-4e76-b728-10771418d21b,OK,unrelated,0.9,"Different contexts: one seeks weight loss advice, the other questions weight gai"
160754 5927fd4a-9137-4727-8186-2631f9f41652,OK,scope,0.9,Questions address different aspects of power dynamics.
127213 10b521da-5135-4e04-8d1b-3c565304451c,OK,entity,0.9,Different companies are being asked about.
