id,gold,pred,conf,stratum,sentence1,sentence2,verdict,tag
312814 7ef8efe6-7eeb-44ed-a850-953295585fa8,0,1,0.9004,S2_high,is hillary clinton ill ?,"obama presidency: first term (2009??3): is us secretary of state hillary clinton , ill ? or has she been ill recently ?",C,scope
82993 a5c7ff9a-c008-4a10-869d-78755457443b,0,1,0.6382,S4_low,how do i be successful in life ?,how can you be successful in your life ?,A,
153017 bdbf0d6c-3a17-4ba7-a003-19820244d936,1,0,0.9869,S1_persist,"are dreams a result of subconscious thoughts , or do they actually have an independent meaning ?",do you think your dreams are your subconscious thoughts ?,B,
372008 9dbda805-a7d5-402f-8170-6adab935e0dc,0,1,0.8651,S1_persist,how can i see who viewed my video i just posted on instagram ?,how can i see my video on instagram ?,B,
293452 a5102903-b318-4a8d-bddd-2ad5eb1cf801,0,1,0.9797,S1_persist,how do i convince my wife that i love her ?,how do i convince my wife i love her ?,A,
150390 818d1f6a-3de2-4484-b347-055b83e154f2,0,1,0.9999,S1_persist,do people ever go from gay to straight ?,do people who question their sexuality ever turn out to be straight ?,C,scope
288054 e06de133-c410-4258-a8cb-a07536a2366e,1,0,0.9976,S1_persist,what are the reviews of davisco whey protein ?,is davisco raw whey protein actually effective ?,A,
350979 59711ee6-2266-48fc-b7b9-8ff465d12e0d,0,1,0.7582,S4_low,is papa john 's pizza good ?,what is the best papa john 's pizza ?,C,other
252597 0b104ba3-2562-4cea-9ec9-5bccc9991879,1,0,0.602,S4_low,which is the best book for studying automobile engineering ?,what are some good books for automobile engineering ?,C,lexical_gap
316495 12d7b288-60c7-4508-8541-b325f2376661,0,1,0.8444,S3_mid,what are some of the best tv series to watch as of january 2015 ?,what are the best tv series of 2015 ?,C,scope
246876 03692a7f-7f1f-49f4-9e59-b986c1886fdb,1,0,0.6446,S3_mid,can i learn two programming languages at once ?,how can i learn two programming languages ?,A,
44935 15787afe-952d-4783-a5d2-57614b1a9794,0,1,0.9998,S2_high,how can i convert categorical data to continuous data ?,how can i convert the categorical data to continuous data ?,A,
174936 08461ff7-9b0c-4013-b770-0c668c7b5191,0,1,1,S2_high,what is the scope of placements in biotechnology ?,what is scope in biotechnology ?,A,
249360 e2d55f95-9aa3-424f-80d8-404f3e617c05,0,1,0.9105,S3_mid,how can i stop losing weight ?,what are the best ways to lose weight ?,C,negation
219343 834e756f-f1fa-46e9-b3b1-392831ece0a0,1,0,0.7708,S2_high,what are some of the provisions of the 14th amendment ?,why is the 14th amendment important ?,A,
397443 37160630-30b3-4789-b2ba-7cbe58496d39,0,1,0.9802,S3_mid,how can i tell my classmate that i have a crush on her ?,how can i tell my crush i like her ?,A,
333849 800b2c5a-de55-4f54-a208-069b1fb43fb3,0,1,0.8065,S3_mid,how can i learn digital marketing online easily ?,where can i learn (study) digital marketing ?,C,scope
14945 0c24801e-2a5b-4ec3-a689-8a29e389c350,1,0,0.9813,S3_mid,india how many states ?,how many states are there in india ?,C,lexical_gap
372090 c92e1baa-dfd1-46fd-8b8d-4e3485d1889a,1,0,0.9761,S2_high,what are the best books/tutorials to learn c# for non-beginners programmers ?,what are the best ways to learn c# ?,A,
319236 94775bfd-279a-444b-ba6f-795a6f28e6fb,0,1,0.9287,S1_persist,why is kim kardashian famous for being famous ?,why is kim kardashian famous ?,B,
